date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:57:16	3517/3517	---M--	200	added ('OK')	image/jpeg	etag:%2261b97ebb-dbd%22	https://technext.github.io/elearning/img/testimonial-2.jpg	C:/Users/DEV/Downloads/Samplo/technext.github.io/elearning/img/testimonial-2.jpg	(from https://technext.github.io/elearning/)
17:57:16	3066/3066	---M--	200	added ('OK')	image/jpeg	etag:%2261b97ebb-bfa%22	https://technext.github.io/elearning/img/testimonial-3.jpg	C:/Users/DEV/Downloads/Samplo/technext.github.io/elearning/img/testimonial-3.jpg	(from https://technext.github.io/elearning/)
17:57:16	3268/3268	---M--	200	added ('OK')	image/jpeg	etag:%2261b97ebb-cc4%22	https://technext.github.io/elearning/img/testimonial-4.jpg	C:/Users/DEV/Downloads/Samplo/technext.github.io/elearning/img/testimonial-4.jpg	(from https://technext.github.io/elearning/)
17:57:17	79665/79665	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213731-2JYXAt9UqpcPHzAIfI0LH2lnx4Q%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	C:/Users/DEV/Downloads/Samplo/cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	(from https://technext.github.io/elearning/)
17:57:17	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-15851%22	https://code.jquery.com/jquery-3.4.1.min.js	C:/Users/DEV/Downloads/Samplo/code.jquery.com/jquery-3.4.1.min.js	(from https://technext.github.io/elearning/)
17:57:18	8156/8156	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261b97ebb-1fdc%22	https://technext.github.io/elearning/lib/wow/wow.min.js	C:/Users/DEV/Downloads/Samplo/technext.github.io/elearning/lib/wow/wow.min.js	(from https://technext.github.io/elearning/)
17:57:18	2302/2302	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261b97ebb-8fe%22	https://technext.github.io/elearning/lib/easing/easing.min.js	C:/Users/DEV/Downloads/Samplo/technext.github.io/elearning/lib/easing/easing.min.js	(from https://technext.github.io/elearning/)
17:57:18	9028/9028	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261b97ebb-2344%22	https://technext.github.io/elearning/lib/waypoints/waypoints.min.js	C:/Users/DEV/Downloads/Samplo/technext.github.io/elearning/lib/waypoints/waypoints.min.js	(from https://technext.github.io/elearning/)
17:57:18	42766/42766	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261b97ebb-a70e%22	https://technext.github.io/elearning/lib/owlcarousel/owl.carousel.min.js	C:/Users/DEV/Downloads/Samplo/technext.github.io/elearning/lib/owlcarousel/owl.carousel.min.js	(from https://technext.github.io/elearning/)
17:57:18	2698/2698	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261b97ebb-a8a%22	https://technext.github.io/elearning/js/main.js	C:/Users/DEV/Downloads/Samplo/technext.github.io/elearning/js/main.js	(from https://technext.github.io/elearning/)
17:57:19	85120/85120	---M--	200	added ('OK')	font/woff2	etag:W/%2214c80-7RZ9M14uDLAKgvLXNn8Fy01lV88%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff2?231ce25e89ab5804f9a6c427b8d325c9	C:/Users/DEV/Downloads/Samplo/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
17:57:19	113532/113532	---M--	200	added ('OK')	font/woff	etag:W/%221bb7c-47yt78jTFi+euyu4fJGbVQNZ9TA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff?231ce25e89ab5804f9a6c427b8d325c9	C:/Users/DEV/Downloads/Samplo/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
17:57:20	4976/4976	---M--	200	added ('OK')	image/png	etag:%2261b97ebb-1370%22	https://technext.github.io/elearning/lib/owlcarousel/assets/owl.video.play.png	C:/Users/DEV/Downloads/Samplo/technext.github.io/elearning/lib/owlcarousel/assets/owl.video.play.png	(from https://technext.github.io/elearning/lib/owlcarousel/assets/owl.carousel.min.css)
17:57:20	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
